id,name,y_pos,x_pos,address
EVD_000001,두드림,36.363494,127.337294,대전광역시 유성구 유성구 장대동 336-3
EVD_000002,두드림존,36.363431,127.337504,대전 유성구 장대동 338
EVS_000001,제주공항점,33.517526,126.499067,제주특별자치도 제주시 용담삼동 1218-2
EVS_000002,애월점,33.48467,126.39364,제주특별자치도 제주시 애월읍 하귀2리 2687
EVS_000003,성산점,33.469735,126.922293,제주특별자치도 서귀포시 성산읍 오조리 3
EVS_000004,서귀포점,33.244243,126.535568,제주특별자치도 서귀포시 호근동 479-3
EVS_000005,북촌점,33.551103,126.695998,제주특별자치도 제주시 조천읍 북촌리 450-1
EVS_000006,월령점,33.379425,126.216389,제주특별자치도 제주시 한림읍 월령리 330-1
EVS_000007,세미양 빌딩존,33.442355,126.57145,제주특별자치도 제주시 첨단로 330 
EVS_000008,세화점,33.524126,126.860128,제주특별자치도 제주시 구좌읍 세화리 1477-17
EVS_000009,곽지점,33.450909,126.307854,제주특별자치도 제주시 애월읍 곽지리 1624
EVS_000010,이호해변점,33.495746,126.457603,제주특별자치도 제주시 이호일동 753-7
EVS_000011,이호현사점,33.497414,126.449074,제주특별자치도 제주시 이호일동 1790
EVS_000012,월정점,33.545183,126.827995,제주특별자치도 제주시 구좌읍 한동리 1638
EVS_000013,제주공항존,33.517527,126.499164,제주특별자치도 제주시 용담삼동 1221
EVS_000014,이호해변존,33.495761,126.45769,제주특별자치도 제주시 이호일동 753-7
EVS_000015,서귀포올레점_대여반납존,33.246153,126.560062,제주특별자치도 서귀포시 태평로 363 헤이서귀포 호텔
EVS_000018,이스트소프트,33.445968,126.570919,제주특별자치도 제주시 첨단로 300 
EVS_000019,이브이패스,33.442355,126.57145,제주특별자치도 제주시 첨단로 330 
EVS_000020,제주대학교점,33.454759,126.562255,제주특별자치도 제주시 제주대학로 102 
EVS_000022,제주대학교 정문,33.460119,126.561133,제주특별자치도 제주시 제주대학로 102 정문
EVS_000023,제주대학교 후문,33.450366,126.558464,제주특별자치도 제주시 제주대학로 102 후문
EVS_000024,제주대학교 학생회관,33.455188,126.560982,제주특별자치도 제주시 제주대학로 102 학생회관
EVS_000025,제주대학교 교양강의동,33.455797,126.564726,제주특별자치도 제주시 제주대학로 102 교양강의동
EVS_000026,제주벤처마루,33.50033,126.530047,제주특별자치도 제주시 중앙로 217 제주벤처마루
EVS_000027,테스트,33.513212,126.511267,제주특별자치도 제주시 용담로7길 10-14 
EVS_000028,제주대학교 후문.,33.450396,126.558467,제주특별자치도 제주시 제주대학로 102 
EVS_000029,두드림 트럭,36.363512,127.337288,대전광역시 유성구 유성대로 801 두드림 트럭
EVS_000030,제주벤처마루.,33.50033,126.530047,제주특별자치도 제주시 중앙로 217 
EVS_000031,토산점,33.305031,126.791897,제주특별자치도 서귀포시 표선면 일주동로 6347-17 
EVS_000032,이스트소프트존,33.445968,126.570919,제주특별자치도 제주시 첨단로 300 이스트소프트
EVS_000033,EV 트럭,33.442567,126.572065,제주특별자치도 제주시 첨단로 330 
EVS_000034,제주관광공사,33.4857,126.4991,제주특별자치도 제주시 선덕로 23 
EVS_000035,이호테우해수욕장,33.497389,126.453773,제주특별자치도 제주시 이호일동 1665-7
EVS_000036,알작지해변,33.494447,126.436804,제주특별자치도 제주시 테우해안로 1 
EVS_000037,제주대학교 정문_대여반납존,33.460076,126.56175,제주특별자치도 제주시 아라이동 35-2
EVS_000038,제주대자연과학관,33.458246,126.560423,제주특별자치도 제주시 제주대학로 102 
EVS_000039,창업보육센터2호관,33.458041,126.563682,제주특별자치도 제주시 제주대학로 102 
EVS_000040,제2도서관,33.457352,126.560368,제주특별자치도 제주시 제주대학로 102 
EVS_000041,대운동장,33.456333,126.559118,제주특별자치도 제주시 제주대학로 102 
EVS_000042,학생회관,33.455102,126.561167,제주특별자치도 제주시 제주대학로 102 
EVS_000043,아라뮤즈홀,33.453979,126.55985,제주특별자치도 제주시 제주대학로 102 
EVS_000044,생활관5호관,33.452788,126.556463,제주특별자치도 제주시 제주대학로 102 
EVS_000045,제주어센터,33.453079,126.558131,제주특별자치도 제주시 제주대학로 102 
EVS_000046,효담교수회관,33.452722,126.560459,제주특별자치도 제주시 제주대학로 102 
EVS_000047,수의과대학,33.451555,126.558455,제주특별자치도 제주시 제주대학로 102 
EVS_000048,학생생활관3호관,33.451699,126.556897,제주특별자치도 제주시 제주대학로 102 
EVS_000049,학생생활관1호관,33.450584,126.557267,제주특별자치도 제주시 제주대학로 102 
EVS_000050,의과대학해부학실습실,33.45133,126.559907,제주특별자치도 제주시 제주대학로 102 
EVS_000051,골프아카데미,33.452239,126.562483,제주특별자치도 제주시 제주대학로 102 
EVS_000052,미술관,33.4531,126.562171,제주특별자치도 제주시 제주대학로 102 
EVS_000053,경상대학1호관,33.45399,126.561742,제주특별자치도 제주시 제주대학로 102 
EVS_000054,경상대학2호관,33.453703,126.563301,제주특별자치도 제주시 제주대학로 102 
EVS_000055,의과대학,33.452676,126.56359,제주특별자치도 제주시 제주대학로 102 
EVS_000056,바이오융합센터2호관,33.451921,126.566668,제주특별자치도 제주시 제주대학로 102 
EVS_000057,제2운동장,33.454107,126.567229,제주특별자치도 제주시 제주대학로 102 
EVS_000058,해양과학대학4호관,33.455215,126.566024,제주특별자치도 제주시 제주대학로 102 
EVS_000059,나노재료및시스템연구실,33.454417,126.564938,제주특별자치도 제주시 제주대학로 102 
EVS_000060,사범대학1호관,33.454824,126.563371,제주특별자치도 제주시 제주대학로 102 
EVS_000061,구라도서관,33.454855,126.562288,제주특별자치도 제주시 제주대학로 102 
EVS_000062,본관,33.456194,126.56247,제주특별자치도 제주시 제주대학로 102 
EVS_000063,간호대학,33.455845,126.564462,제주특별자치도 제주시 제주대학로 102 
EVS_000064,앱창작터,33.456159,126.566065,제주특별자치도 제주시 제주대학로 102 
EVS_000065,공과대학1호관,33.456757,126.565214,제주특별자치도 제주시 제주대학로 102 
EVS_000066,해양과학대학,33.457176,126.563617,제주특별자치도 제주시 제주대학로 102 
EVS_000067,스마트그리드연구센터,33.457688,126.565828,제주특별자치도 제주시 제주대학로 102 
EVS_000068,자연과학대학1호관,33.458191,126.564522,제주특별자치도 제주시 제주대학로 102 
EVS_000069,생명과학기술혁신센터,33.458725,126.565395,제주특별자치도 제주시 제주대학로 102 
EVS_000070,창업보육센터,33.45845,126.563482,제주특별자치도 제주시 제주대학로 102 
EVS_000071,농생명인재사업단,33.458102,126.562126,제주특별자치도 제주시 제주대학로 102 
EVS_000072,산천단동2길,33.449917,126.558317,제주특별자치도 제주시 산천단동3길 25 
EVS_000073,산천단동길,33.447665,126.556202,제주특별자치도 제주시 산천단동길 4 
EVS_000074,한국폴리텍대학제주캠퍼스,33.447555,126.561286,제주특별자치도 제주시 산천단동길 4 
